SpatialDimType,SpatialDim,Dim1,TimeDim,NumericValue
WORLDBANKINCOMEGROUP,WB_LI,Female,2006,59.60962827
COUNTRY,BRB,Female,2004,76.5550207
COUNTRY,PRI,Female,2007,81.90871485
COUNTRY,THA,Both,2012,76.18036117
GLOBAL,GLOBAL,Male,2000,64.39083049
COUNTRY,LSO,Female,2021,54.60295142
COUNTRY,USA,Male,2007,75.59266442
WORLDBANKINCOMEGROUP,WB_HI,Female,2011,82.58583903
COUNTRY,MLI,Both,2018,61.31661022
COUNTRY,GTM,Male,2010,68.01344699
COUNTRY,ISL,Male,2000,77.72319836
REGION,AFR,Male,2016,61.01339287
COUNTRY,QAT,Female,2011,76.3549412
COUNTRY,TON,Both,2007,72.00901963
COUNTRY,CPV,Male,2012,71.09246844
COUNTRY,ERI,Male,2015,59.62831674
COUNTRY,PHL,Both,2010,69.68865207
COUNTRY,GRD,Female,2016,75.34926635
COUNTRY,CAF,Male,2017,48.31672349
COUNTRY,BRA,Both,2005,73.14791265
COUNTRY,MDG,Female,2012,64.03446391
COUNTRY,BDI,Female,2020,66.6720934
COUNTRY,MMR,Female,2002,62.72860322
COUNTRY,SYC,Both,2006,72.35760551
COUNTRY,BTN,Female,2008,71.95448217
COUNTRY,FIN,Male,2000,74.12273972
COUNTRY,CYP,Female,2021,83.96356978
COUNTRY,PRY,Male,2015,72.39058734
COUNTRY,EGY,Both,2003,68.78353005
COUNTRY,KAZ,Male,2020,67.03899862
REGION,AFR,Male,2005,54.33549046
COUNTRY,PAK,Female,2007,64.1603603
COUNTRY,TGO,Female,2001,58.02176669
COUNTRY,KEN,Both,2000,54.09203911
COUNTRY,PNG,Both,2010,64.88774886
COUNTRY,VNM,Male,2003,67.85219768
COUNTRY,ERI,Male,2016,60.03274719
COUNTRY,BOL,Male,2016,71.32068712
COUNTRY,BIH,Both,2009,76.7825838
COUNTRY,LBY,Male,2020,70.37431397
COUNTRY,POL,Female,2002,78.62041225
COUNTRY,PAK,Both,2019,67.02931501
COUNTRY,MUS,Both,2021,73.41967032
COUNTRY,OMN,Female,2013,77.61705919
